No	Venue1	Table1	Seat1	Venue2	Table2	Seat2	Venue3	Table3	Seat3	Venue4	Table4	Seat4
1E(30)	CoTan大教室			CoTan大教室			1-D	4	3	1-H	4	3
1E(31)	1-D	4	3	1-H	4	3	CoTan大教室			CoTan大教室		
1E(32)	CoTan大教室			CoTan大教室			1-E	4	3	1-I	4	3
1E(33)	1-E	4	3	1-I	4	3	CoTan大教室			CoTan大教室		
1E(34)	CoTan大教室			CoTan大教室			1-F	4	3	1-J	4	3
1E(35)	1-F	4	3	1-J	4	3	CoTan大教室			CoTan大教室		
1E(36)	CoTan大教室			CoTan大教室			1-G	4	3	CoTan C1	5	3
1F(01)	1-G	4	3	CoTan C1	5	3	CoTan大教室			CoTan大教室		
1F(02)	CoTan大教室			CoTan大教室			1-H	4	3	CoTan C2	5	3
1F(03)	1-H	4	3	CoTan C2	5	3	CoTan大教室			CoTan大教室		
1F(04)	CoTan大教室			CoTan大教室			1-I	4	3	1-A	5	3
1F(05)	1-I	4	3	1-A	5	3	CoTan大教室			CoTan大教室		
1F(06)	CoTan大教室			CoTan大教室			1-J	4	3	1-B	5	3
1F(07)	1-J	4	3	1-B	5	3	CoTan大教室			CoTan大教室		
1F(08)	CoTan大教室			CoTan大教室			CoTan C1	5	3	1-C	5	3
1F(09)	CoTan C1	5	3	1-C	5	3	CoTan大教室			CoTan大教室		
1F(10)	CoTan大教室			CoTan大教室			CoTan C2	5	3	1-D	5	3
1F(11)	CoTan C2	5	3	1-D	5	3	CoTan大教室			CoTan大教室		
1F(12)	CoTan大教室			CoTan大教室			1-A	5	3	1-E	5	3
1F(13)	1-A	5	3	1-E	5	3	CoTan大教室			CoTan大教室		
1F(14)	CoTan大教室			CoTan大教室			1-B	5	3	1-F	5	3
1F(15)	1-B	5	3	1-F	5	3	CoTan大教室			CoTan大教室		
1F(16)	CoTan大教室			CoTan大教室			1-C	5	3	1-G	5	3
1F(17)	1-C	5	3	1-G	5	3	CoTan大教室			CoTan大教室		
1F(18)	CoTan大教室			CoTan大教室			1-D	5	3	1-H	5	3
1F(19)	1-D	5	3	1-H	5	3	CoTan大教室			CoTan大教室		
1F(20)	CoTan大教室			CoTan大教室			1-E	5	3	1-I	5	3
1F(21)	1-E	5	3	1-I	5	3	CoTan大教室			CoTan大教室		
1F(22)	CoTan大教室			CoTan大教室			1-F	5	3	1-J	5	3
1F(23)	1-F	5	3	1-J	5	3	CoTan大教室			CoTan大教室		
1F(24)	CoTan大教室			CoTan大教室			1-G	5	3	CoTan C1	6	3
1F(25)	1-G	5	3	CoTan C1	6	3	CoTan大教室			CoTan大教室		
1F(26)	CoTan大教室			CoTan大教室			1-H	5	3	CoTan C2	6	3
1F(28)	1-H	5	3	CoTan C2	6	3	CoTan大教室			CoTan大教室		
1F(29)	CoTan大教室			CoTan大教室			1-I	5	3	1-A	6	3
1F(30)	1-I	5	3	1-A	6	3	CoTan大教室			CoTan大教室		
1F(31)	CoTan大教室			CoTan大教室			1-J	5	3	1-B	6	3
1F(32)	1-J	5	3	1-B	6	3	CoTan大教室			CoTan大教室		
1F(33)	CoTan大教室			CoTan大教室			CoTan C1	6	3	1-C	6	3
1F(34)	CoTan C1	6	3	1-C	6	3	CoTan大教室			CoTan大教室		
1F(35)	CoTan大教室			CoTan大教室			CoTan C2	6	3	1-D	6	3
1F(36)	CoTan C2	6	3	1-D	6	3	CoTan大教室			CoTan大教室		
1F(37)	CoTan大教室			CoTan大教室			1-A	6	3	1-E	6	3
1G(01)	1-A	6	3	1-E	6	3	CoTan大教室			CoTan大教室		
1G(02)	CoTan大教室			CoTan大教室			1-B	6	3	CoTan C1	1	3
1G(03)	1-B	6	3	CoTan C1	1	3	CoTan大教室			CoTan大教室		
1G(05)	CoTan大教室			CoTan大教室			1-C	6	3	CoTan C2	1	3
1G(06)	1-C	6	3	CoTan C2	1	3	CoTan大教室			CoTan大教室		
1G(07)	CoTan大教室			CoTan大教室			1-D	6	3	1-A	1	3
1G(08)	1-D	6	3	1-A	1	3	CoTan大教室			CoTan大教室		
1G(09)	CoTan大教室			CoTan大教室			1-E	6	3	1-B	1	3
1G(10)	1-E	6	3	1-B	1	3	CoTan大教室			CoTan大教室		
1G(11)	CoTan大教室			CoTan大教室			CoTan C1	1	4	1-B	1	4
1G(12)	CoTan C1	1	4	1-B	1	4	CoTan大教室			CoTan大教室		
1G(13)	CoTan大教室			CoTan大教室			CoTan C2	1	4	1-C	1	4
1G(14)	CoTan C2	1	4	1-C	1	4	CoTan大教室			CoTan大教室		
1G(15)	CoTan大教室			CoTan大教室			1-A	1	4	1-D	1	4
1G(16)	1-A	1	4	1-D	1	4	CoTan大教室			CoTan大教室		
1G(17)	CoTan大教室			CoTan大教室			1-B	1	4	1-E	1	4
1G(18)	1-B	1	4	1-E	1	4	CoTan大教室			CoTan大教室		
1G(19)	CoTan大教室			CoTan大教室			1-C	1	4	1-F	1	4
1G(20)	1-C	1	4	1-F	1	4	CoTan大教室			CoTan大教室		
1G(21)	CoTan大教室			CoTan大教室			1-D	1	4	1-G	1	4
1G(22)	1-D	1	4	1-G	1	4	CoTan大教室			CoTan大教室		
1G(23)	CoTan大教室			CoTan大教室			1-E	1	4	1-H	1	4
1G(24)	1-E	1	4	1-H	1	4	CoTan大教室			CoTan大教室		
1G(25)	CoTan大教室			CoTan大教室			1-F	1	4	1-I	1	4
1G(26)	1-F	1	4	1-I	1	4	CoTan大教室			CoTan大教室		
1G(27)	CoTan大教室			CoTan大教室			1-G	1	4	1-J	1	4
1G(28)	1-G	1	4	1-J	1	4	CoTan大教室			CoTan大教室		
1G(29)	CoTan大教室			CoTan大教室			1-H	1	4	CoTan C1	2	4
1G(30)	1-H	1	4	CoTan C1	2	4	CoTan大教室			CoTan大教室		
1G(31)	CoTan大教室			CoTan大教室			1-I	1	4	CoTan C2	2	4
1G(32)	1-I	1	4	CoTan C2	2	4	CoTan大教室			CoTan大教室		
1G(33)	CoTan大教室			CoTan大教室			1-J	1	4	1-A	2	4
1G(34)	1-J	1	4	1-A	2	4	CoTan大教室			CoTan大教室		
1G(35)	CoTan大教室			CoTan大教室			CoTan C1	2	4	1-B	2	4
1G(36)	CoTan C1	2	4	1-B	2	4	CoTan大教室			CoTan大教室		
1H(01)	CoTan大教室			CoTan大教室			CoTan C2	2	4	1-C	2	4
1H(02)	CoTan C2	2	4	1-C	2	4	CoTan大教室			CoTan大教室		
1H(03)	CoTan大教室			CoTan大教室			1-A	2	4	1-D	2	4
1H(04)	1-A	2	4	1-D	2	4	CoTan大教室			CoTan大教室		
1H(05)	CoTan大教室			CoTan大教室			1-B	2	4	1-E	2	4
1H(06)	1-B	2	4	1-E	2	4	CoTan大教室			CoTan大教室		
1H(07)	CoTan大教室			CoTan大教室			1-C	2	4	1-F	2	4
1H(08)	1-C	2	4	1-F	2	4	CoTan大教室			CoTan大教室		
1H(09)	CoTan大教室			CoTan大教室			1-D	2	4	1-G	2	4
1H(10)	1-D	2	4	1-G	2	4	CoTan大教室			CoTan大教室		
1H(12)	CoTan大教室			CoTan大教室			1-E	2	4	1-H	2	4
1H(13)	1-E	2	4	1-H	2	4	CoTan大教室			CoTan大教室		
1H(14)	CoTan大教室			CoTan大教室			1-F	2	4	1-I	2	4
1H(15)	1-F	2	4	1-I	2	4	CoTan大教室			CoTan大教室		
1H(16)	CoTan大教室			CoTan大教室			1-G	2	4	1-J	2	4
1H(17)	1-G	2	4	1-J	2	4	CoTan大教室			CoTan大教室		
1H(19)	CoTan大教室			CoTan大教室			1-H	2	4	CoTan C1	3	4
1H(20)	1-H	2	4	CoTan C1	3	4	CoTan大教室			CoTan大教室		
1H(21)	CoTan大教室			CoTan大教室			1-I	2	4	CoTan C2	3	4
1H(22)	1-I	2	4	CoTan C2	3	4	CoTan大教室			CoTan大教室		
1H(23)	CoTan大教室			CoTan大教室			1-J	2	4	1-A	3	4
1H(25)	1-J	2	4	1-A	3	4	CoTan大教室			CoTan大教室		
1H(26)	CoTan大教室			CoTan大教室			CoTan C1	3	4	1-B	3	4
1H(27)	CoTan C1	3	4	1-B	3	4	CoTan大教室			CoTan大教室		
1H(28)	CoTan大教室			CoTan大教室			CoTan C2	3	4	1-C	3	4
1H(29)	CoTan C2	3	4	1-C	3	4	CoTan大教室			CoTan大教室		
1H(30)	CoTan大教室			CoTan大教室			1-A	3	4	1-D	3	4
1H(31)	1-A	3	4	1-D	3	4	CoTan大教室			CoTan大教室		
1H(32)	CoTan大教室			CoTan大教室			1-B	3	4	1-E	3	4
1H(33)	1-B	3	4	1-E	3	4	CoTan大教室			CoTan大教室		
1H(34)	CoTan大教室			CoTan大教室			1-C	3	4	1-F	3	4
1H(35)	1-C	3	4	1-F	3	4	CoTan大教室			CoTan大教室		
1H(36)	CoTan大教室			CoTan大教室			1-D	3	4	1-G	3	4
1I(01)	1-D	3	4	1-G	3	4	CoTan大教室			CoTan大教室		
1I(02)	CoTan大教室			CoTan大教室			1-E	3	4	1-H	3	4
1I(03)	1-E	3	4	1-H	3	4	CoTan大教室			CoTan大教室		
1I(04)	CoTan大教室			CoTan大教室			1-F	3	4	1-I	3	4
1I(05)	1-F	3	4	1-I	3	4	CoTan大教室			CoTan大教室		
1I(06)	CoTan大教室			CoTan大教室			1-G	3	4	1-J	3	4
1I(08)	1-G	3	4	1-J	3	4	CoTan大教室			CoTan大教室		
1I(09)	CoTan大教室			CoTan大教室			1-H	3	4	CoTan C1	4	4
1I(10)	1-H	3	4	CoTan C1	4	4	CoTan大教室			CoTan大教室		
1I(11)	CoTan大教室			CoTan大教室			1-I	3	4	CoTan C2	4	4
1I(12)	1-I	3	4	CoTan C2	4	4	CoTan大教室			CoTan大教室		
1I(14)	CoTan大教室			CoTan大教室			1-J	3	4	1-A	4	4
1I(15)	1-J	3	4	1-A	4	4	CoTan大教室			CoTan大教室		
1I(16)	CoTan大教室			CoTan大教室			CoTan C1	4	4	1-B	4	4
1I(17)	CoTan C1	4	4	1-B	4	4	CoTan大教室			CoTan大教室		
1I(18)	CoTan大教室			CoTan大教室			CoTan C2	4	4	1-C	4	4
1I(19)	CoTan C2	4	4	1-C	4	4	CoTan大教室			CoTan大教室		
1I(20)	CoTan大教室			CoTan大教室			1-A	4	4	1-D	4	4
1I(21)	1-A	4	4	1-D	4	4	CoTan大教室			CoTan大教室		
1I(22)	CoTan大教室			CoTan大教室			1-B	4	4	1-E	4	4
1I(23)	1-B	4	4	1-E	4	4	CoTan大教室			CoTan大教室		
1I(24)	CoTan大教室			CoTan大教室			1-C	4	4	1-F	4	4
1I(25)	1-C	4	4	1-F	4	4	CoTan大教室			CoTan大教室		
1I(26)	CoTan大教室			CoTan大教室			1-D	4	4	1-G	4	4
1I(27)	1-D	4	4	1-G	4	4	CoTan大教室			CoTan大教室		
1I(28)	CoTan大教室			CoTan大教室			1-E	4	4	1-H	4	4
1I(29)	1-E	4	4	1-H	4	4	CoTan大教室			CoTan大教室		
1I(30)	CoTan大教室			CoTan大教室			1-F	4	4	1-I	4	4
1I(31)	1-F	4	4	1-I	4	4	CoTan大教室			CoTan大教室		
1I(32)	CoTan大教室			CoTan大教室			1-G	4	4	1-J	4	4
1I(33)	1-G	4	4	1-J	4	4	CoTan大教室			CoTan大教室		
1I(34)	CoTan大教室			CoTan大教室			1-H	4	4	CoTan C1	5	4
1J(01)	1-H	4	4	CoTan C1	5	4	CoTan大教室			CoTan大教室		
1J(03)	CoTan大教室			CoTan大教室			1-I	4	4	CoTan C2	5	4
1J(04)	1-I	4	4	CoTan C2	5	4	CoTan大教室			CoTan大教室		
1J(05)	CoTan大教室			CoTan大教室			1-J	4	4	1-A	5	4
1J(06)	1-J	4	4	1-A	5	4	CoTan大教室			CoTan大教室		
1J(07)	CoTan大教室			CoTan大教室			CoTan C1	5	4	1-B	5	4
1J(08)	CoTan C1	5	4	1-B	5	4	CoTan大教室			CoTan大教室		
1J(09)	CoTan大教室			CoTan大教室			CoTan C2	5	4	1-C	5	4
1J(10)	CoTan C2	5	4	1-C	5	4	CoTan大教室			CoTan大教室		
1J(11)	CoTan大教室			CoTan大教室			1-A	5	4	1-D	5	4
1J(12)	1-A	5	4	1-D	5	4	CoTan大教室			CoTan大教室		
1J(14)	CoTan大教室			CoTan大教室			1-B	5	4	1-E	5	4
1J(16)	1-B	5	4	1-E	5	4	CoTan大教室			CoTan大教室		
1J(17)	CoTan大教室			CoTan大教室			1-C	5	4	1-F	5	4
1J(18)	1-C	5	4	1-F	5	4	CoTan大教室			CoTan大教室		
1J(19)	CoTan大教室			CoTan大教室			1-D	5	4	1-G	5	4
1J(20)	1-D	5	4	1-G	5	4	CoTan大教室			CoTan大教室		
1J(21)	CoTan大教室			CoTan大教室			1-E	5	4	1-H	5	4
1J(22)	1-E	5	4	1-H	5	4	CoTan大教室			CoTan大教室		
1J(23)	CoTan大教室			CoTan大教室			1-F	5	4	1-I	5	4
1J(24)	1-F	5	4	1-I	5	4	CoTan大教室			CoTan大教室		
1J(25)	CoTan大教室			CoTan大教室			1-G	5	4	1-J	5	4
1J(26)	1-G	5	4	1-J	5	4	CoTan大教室			CoTan大教室		
1J(27)	CoTan大教室			CoTan大教室			1-H	5	4	CoTan C1	6	4
1J(28)	1-H	5	4	CoTan C1	6	4	CoTan大教室			CoTan大教室		
1J(29)	CoTan大教室			CoTan大教室			1-I	5	4	CoTan C2	6	4
1J(30)	1-I	5	4	CoTan C2	6	4	CoTan大教室			CoTan大教室		
1J(31)	CoTan大教室			CoTan大教室			1-J	5	4	1-A	6	4
1J(32)	1-J	5	4	1-A	6	4	CoTan大教室			CoTan大教室		
1J(33)	CoTan大教室			CoTan大教室			CoTan C1	6	4	1-B	6	4
1J(34)	CoTan C1	6	4	1-B	6	4	CoTan大教室			CoTan大教室		
1J(35)	CoTan大教室			CoTan大教室			CoTan C2	6	4	1-C	6	4
1J(36)	CoTan C2	6	4	1-C	6	4	CoTan大教室			CoTan大教室		
3D(01)	CoTan C1	1	5	1-A	1	5	1-E	6	5	CoTan C2	1	5
3D(02)	CoTan C2	1	5	1-B	1	5	CoTan C1	1	5	1-A	1	5
3D(03)	1-A	1	5	1-C	1	5	CoTan C2	1	5	1-B	1	5
3D(04)	1-B	1	5	1-D	1	5	1-A	1	5	1-C	1	5
3D(05)	1-C	1	5	1-E	1	5	1-B	1	5	1-D	1	5
3D(06)	1-D	1	5	1-F	1	5	1-C	1	5	1-E	1	5
3D(07)	1-E	1	5	1-G	1	5	1-D	1	5	1-F	1	5
3D(08)	1-F	1	5	1-H	1	5	1-E	1	5	1-G	1	5
3D(09)	1-G	1	5	1-I	1	5	1-F	1	5	1-H	1	5
3D(10)	1-H	1	5	1-J	1	5	1-G	1	5	1-I	1	5
3D(11)	1-I	1	5	CoTan C1	2	5	1-H	1	5	1-J	1	5
3D(12)	1-J	1	5	CoTan C2	2	5	1-I	1	5	CoTan C1	2	5
3D(13)	CoTan C1	2	5	1-A	2	5	1-J	1	5	CoTan C2	2	5
3D(14)	CoTan C2	2	5	1-B	2	5	CoTan C1	2	5	1-A	2	5
3D(15)	1-A	2	5	1-C	2	5	CoTan C2	2	5	1-B	2	5
3D(16)	1-B	2	5	1-D	2	5	1-A	2	5	1-C	2	5
3D(17)	1-C	2	5	1-E	2	5	1-B	2	5	1-D	2	5
3D(18)	1-D	2	5	1-F	2	5	1-C	2	5	1-E	2	5
3D(19)	1-E	2	5	1-G	2	5	1-D	2	5	1-F	2	5
3D(20)	1-F	2	5	1-H	2	5	1-E	2	5	1-G	2	5
3D(21)	1-G	2	5	1-I	2	5	1-F	2	5	1-H	2	5
3D(22)	1-H	2	5	1-J	2	5	1-G	2	5	1-I	2	5
3D(23)	1-I	2	5	CoTan C1	3	5	1-H	2	5	1-J	2	5
3D(24)	1-J	2	5	CoTan C2	3	5	1-I	2	5	CoTan C1	3	5
3D(25)	CoTan C1	3	5	1-A	3	5	1-J	2	5	CoTan C2	3	5
3D(26)	CoTan C2	3	5	1-B	3	5	CoTan C1	3	5	1-A	3	5
3D(27)	1-A	3	5	1-C	3	5	CoTan C2	3	5	1-B	3	5
3D(28)	CoTan大教室			1-G	3	5	CoTan大教室			1-F	3	5
3D(29)	1-B	3	5	1-D	3	5	1-A	3	5	1-C	3	5
3D(30)	1-C	3	5	1-E	3	5	1-B	3	5	1-D	3	5
3D(31)	1-D	3	5	1-F	3	5	1-C	3	5	1-E	3	5
3D(32)	1-E	3	5	CoTan大教室			1-D	3	5	CoTan大教室		
3F(01)	1-F	3	5	1-H	3	5	1-E	3	5	1-G	3	5
3F(02)	1-G	3	5	1-I	3	5	1-F	3	5	1-H	3	5
3F(10)	1-H	3	5	1-J	3	5	1-G	3	5	1-I	3	5
3F(11)	1-I	3	5	CoTan C1	4	5	1-H	3	5	1-J	3	5
3F(14)	1-J	3	5	CoTan C2	4	5	1-I	3	5	CoTan C1	4	5
3F(17)	CoTan C1	4	5	1-A	4	5	1-J	3	5	CoTan C2	4	5
3F(18)	CoTan C2	4	5	1-B	4	5	CoTan C1	4	5	1-A	4	5
3F(26)	1-A	4	5	1-C	4	5	CoTan C2	4	5	1-B	4	5
3A(10)	CoTan大教室			1-A	1	6	CoTan大教室			1-C	6	6
3A(18)	1-B	4	5	1-D	4	5	1-A	4	5	1-C	4	5
3B(11)	1-C	4	5	1-E	4	5	1-B	4	5	1-D	4	5
3B(12)	1-D	4	5	1-F	4	5	1-C	4	5	1-E	4	5
3B(16)	1-E	4	5	1-G	4	5	1-D	4	5	1-F	4	5
3B(21)	1-F	4	5	1-H	4	5	1-E	4	5	1-G	4	5
3C(14)	1-G	4	5	1-I	4	5	1-F	4	5	1-H	4	5
3C(16)	1-H	4	5	1-J	4	5	1-G	4	5	1-I	4	5
3A(01)	1-I	4	5	CoTan C1	5	5	1-H	4	5	1-J	4	5
3A(02)	1-J	4	5	CoTan C2	5	5	1-I	4	5	CoTan C1	5	5
3A(03)	CoTan C1	5	5	1-A	5	5	1-J	4	5	CoTan C2	5	5
3A(04)	CoTan C2	5	5	1-B	5	5	CoTan C1	5	5	1-A	5	5
3A(05)	1-A	5	5	1-C	5	5	CoTan C2	5	5	1-B	5	5
3A(06)	1-B	5	5	1-D	5	5	1-A	5	5	1-C	5	5
3A(07)	1-C	5	5	1-E	5	5	1-B	5	5	1-D	5	5
3A(08)	1-D	5	5	1-F	5	5	1-C	5	5	1-E	5	5
3A(09)	1-E	5	5	1-G	5	5	1-D	5	5	1-F	5	5
3A(11)	1-F	5	5	1-H	5	5	1-E	5	5	1-G	5	5
3A(12)	1-G	5	5	1-I	5	5	1-F	5	5	1-H	5	5
3A(13)	1-H	5	5	1-J	5	5	1-G	5	5	1-I	5	5
3A(14)	1-I	5	5	CoTan C1	6	5	1-H	5	5	1-J	5	5
3A(15)	1-J	5	5	CoTan C2	6	5	1-I	5	5	CoTan C1	6	5
3A(16)	CoTan C1	6	5	1-A	6	5	1-J	5	5	CoTan C2	6	5
3A(17)	CoTan C2	6	5	1-B	6	5	CoTan C1	6	5	1-A	6	5
3A(19)	1-A	6	5	1-C	6	5	CoTan C2	6	5	1-B	6	5
3A(21)	1-B	6	5	1-D	6	5	1-A	6	5	1-C	6	5
3A(23)	1-C	6	5	1-E	6	5	1-B	6	5	1-D	6	5
3A(24)	1-D	6	5	CoTan C1	1	5	1-C	6	5	1-E	6	5
3A(25)	1-E	6	5	CoTan C2	1	5	1-D	6	5	CoTan C1	1	5
3A(26)	CoTan C1	1	6	CoTan C1	1	6	1-A	6	6	1-A	6	6
3A(27)	CoTan C2	1	6	CoTan C2	1	6	1-B	6	6	1-B	6	6
3A(28)	1-A	1	6	CoTan大教室			1-C	6	6	CoTan大教室		
3A(29)	1-B	1	6	1-B	1	6	1-D	6	6	1-D	6	6
3A(30)	1-C	1	6	1-C	1	6	1-E	6	6	1-E	6	6
3A(31)	1-D	1	6	1-D	1	6	CoTan C1	1	6	CoTan C1	1	6
3A(32)	1-E	1	6	1-E	1	6	CoTan C2	1	6	CoTan C2	1	6
3A(33)	1-F	1	6	1-F	1	6	1-A	1	6	1-A	1	6
3B(01)	1-G	1	6	1-G	1	6	1-B	1	6	1-B	1	6
3B(02)	1-H	1	6	1-H	1	6	1-C	1	6	1-C	1	6
3B(03)	1-I	1	6	1-I	1	6	1-D	1	6	1-D	1	6
3B(04)	1-J	1	6	1-J	1	6	1-E	1	6	1-E	1	6
3B(05)	CoTan C1	2	6	CoTan C1	2	6	1-F	1	6	1-F	1	6
3B(06)	CoTan C2	2	6	CoTan C2	2	6	1-G	1	6	1-G	1	6
3B(07)	1-A	2	6	1-A	2	6	1-H	1	6	1-H	1	6
3B(08)	1-B	2	6	1-B	2	6	1-I	1	6	1-I	1	6
3B(09)	CoTan大教室			1-G	2	6	CoTan大教室			1-B	2	6
3B(10)	1-C	2	6	1-C	2	6	1-J	1	6	1-J	1	6
3B(13)	1-D	2	6	1-D	2	6	CoTan C1	2	6	CoTan C1	2	6
3B(14)	1-E	2	6	1-E	2	6	CoTan C2	2	6	CoTan C2	2	6
3B(15)	1-F	2	6	1-F	2	6	1-A	2	6	1-A	2	6
3B(17)	1-G	2	6	CoTan大教室			1-B	2	6	CoTan大教室		
3B(18)	1-H	2	6	1-H	2	6	1-C	2	6	1-C	2	6
3B(19)	1-I	2	6	1-I	2	6	1-D	2	6	1-D	2	6
3B(20)	1-J	2	6	1-J	2	6	1-E	2	6	1-E	2	6
3B(22)	CoTan C1	3	6	CoTan C1	3	6	1-F	2	6	1-F	2	6
3B(23)	CoTan C2	3	6	CoTan C2	3	6	1-G	2	6	1-G	2	6
3B(24)	1-A	3	6	1-A	3	6	1-H	2	6	1-H	2	6
3B(25)	1-B	3	6	1-B	3	6	1-I	2	6	1-I	2	6
3B(26)	1-C	3	6	1-C	3	6	1-J	2	6	1-J	2	6
3B(27)	1-D	3	6	1-D	3	6	CoTan C1	3	6	CoTan C1	3	6
3B(28)	1-E	3	6	1-E	3	6	CoTan C2	3	6	CoTan C2	3	6
3B(29)	1-F	3	6	1-F	3	6	1-A	3	6	1-A	3	6
3B(30)	1-G	3	6	1-G	3	6	1-B	3	6	1-B	3	6
3B(31)	1-H	3	6	1-H	3	6	1-C	3	6	1-C	3	6
3B(32)	1-I	3	6	CoTan大教室			1-D	3	6	CoTan大教室		
3B(33)	1-J	3	6	1-J	3	6	1-E	3	6	1-E	3	6
3B(34)	CoTan C1	4	6	CoTan C1	4	6	1-F	3	6	1-F	3	6
3C(01)	CoTan C2	4	6	CoTan C2	4	6	1-G	3	6	1-G	3	6
3C(02)	1-A	4	6	1-A	4	6	1-H	3	6	1-H	3	6
3C(03)	1-B	4	6	1-B	4	6	1-I	3	6	1-I	3	6
3C(04)	1-C	4	6	1-C	4	6	1-J	3	6	1-J	3	6
3C(05)	1-D	4	6	1-D	4	6	CoTan C1	4	6	CoTan C1	4	6
3C(06)	1-E	4	6	1-E	4	6	CoTan C2	4	6	CoTan C2	4	6
3C(07)	1-F	4	6	1-F	4	6	1-A	4	6	1-A	4	6
3C(08)	1-G	4	6	1-G	4	6	1-B	4	6	1-B	4	6
3C(09)	1-H	4	6	1-H	4	6	1-C	4	6	1-C	4	6
3C(10)	1-I	4	6	1-I	4	6	1-D	4	6	1-D	4	6
3C(11)	1-J	4	6	1-J	4	6	1-E	4	6	1-E	4	6
3C(12)	CoTan C1	5	6	CoTan C1	5	6	1-F	4	6	1-F	4	6
3C(13)	CoTan大教室			1-H	5	6	CoTan大教室			1-C	5	6
3C(15)	CoTan C2	5	6	CoTan C2	5	6	1-G	4	6	1-G	4	6
3C(17)	1-A	5	6	1-A	5	6	1-H	4	6	1-H	4	6
3C(18)	1-B	5	6	1-B	5	6	1-I	4	6	1-I	4	6
3C(19)	1-C	5	6	1-C	5	6	1-J	4	6	1-J	4	6
3C(21)	1-D	5	6	1-D	5	6	CoTan C1	5	6	CoTan C1	5	6
3C(22)	1-E	5	6	1-E	5	6	CoTan C2	5	6	CoTan C2	5	6
3C(23)	1-F	5	6	1-F	5	6	1-A	5	6	1-A	5	6
3C(24)	1-G	5	6	1-G	5	6	1-B	5	6	1-B	5	6
3C(25)	1-H	5	6	CoTan大教室			1-C	5	6	CoTan大教室		
3C(26)	1-I	5	6	1-I	5	6	1-D	5	6	1-D	5	6
3C(27)	1-J	5	6	1-J	5	6	1-E	5	6	1-E	5	6
3C(28)	CoTan C1	6	6	CoTan C1	6	6	1-F	5	6	1-F	5	6
3C(29)	CoTan C2	6	6	CoTan C2	6	6	1-G	5	6	1-G	5	6
3C(30)	1-A	6	6	1-A	6	6	1-H	5	6	1-H	5	6
3C(31)	1-B	6	6	1-B	6	6	1-I	5	6	1-I	5	6
3C(32)	1-C	6	6	1-C	6	6	1-J	5	6	1-J	5	6
3C(33)	1-D	6	6	1-D	6	6	CoTan C1	6	6	CoTan C1	6	6
3A(22)	1-E	6	6	1-E	6	6	CoTan C2	6	6	CoTan C2	6	6
